ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,Mod name.,,,Improved Observer UI
2,,,Mod description.,,,Improves the UI for observing games and watching replays.\r\n\r\nDue to technical restrictions the UI is implemented as a game mode. Playing the new game mode is aimed to be indistinguishable from playing the 'Standard' game mode.\r\n\r\nhttps://github.com/kuschAoe/AoE4_ObserverUI\r\nkusch_AOE#6566
3,,,,,,Improved Observer UI(Standard)
4,,,,,,"The standard, competitive game mode with a variety of match options and win conditions and an improved observer UI."
5,,,,,,Win Conditions
6,,,,,,Sacred
7,,,,,,Landmarks
8,,,,,,Wonder
9,,,,,,Destroy all enemy Landmarks
10,,,,,,Control all the Sacred Sites
11,,,,,,Build and defend a Wonder
12,,,,,,Landmarks
13,,,,,,Sacred
14,,,,,,Wonder
15,,,,,,Match Options
16,,,,,,Display Player Scores
17,,,,,,Reveal On Elimination
18,,,,,,Reveal Fog of War to eliminated players
19,,,,,,Player Scores are visible when Pinned Player Information is On
20,,,,,,Player Scores are visible when Pinned Player Information is On
21,,,,,,Reveal Fog of War to eliminated players
22,,,,,,Starting Resources
23,,,,,,Resources allotted to each player at match start.
24,,,,,,Map State
25,,,,,,Initial state of the map
26,,,,,,Concealed
27,,,,,,Explored
28,,,,,,Revealed
29,,,,,,Concealed Map
30,,,,,,Explored Map
31,,,,,,Revealed Map
32,,,,,,Age I Start
33,,,,,,Age II Start
34,,,,,,Age III Start
35,,,,,,Age IV Start
36,,,,,,Age I
37,,,,,,Age II
38,,,,,,Age III
39,,,,,,Age IV
40,,,,,,Starting Age
41,,,,,,Age at which players start the match
42,,,,,,Standard
43,,,,,,High
44,,,,,,Very High
45,,,,,,Very High Resources
46,,,,,,Maximum
47,,,,,,Maximum Resources
48,,,,,,High Resources
49,,,,,,Standard Resources
50,,,,,,Improved Observer UI(Nomad)
51,,,,,,"Similar to Standard Mode, except that players start with no Town Center, and only 3 scattered Villagers. Contains improved observer UI."
52,,,,,,Win Conditions
53,,,,,,Landmarks
54,,,,,,Landmarks
55,,,,,,Destroy all enemy Landmarks
56,,,,,,Sacred
57,,,,,,Sacred
58,,,,,,Control all the Sacred Sites
59,,,,,,Wonder
60,,,,,,Wonder
61,,,,,,Build and defend a Wonder
62,,,,,,Match Options
63,,,,,,Display Player Scores
64,,,,,,Player Scores are visible when Pinned Player Information is On
65,,,,,,Player Scores are visible when Pinned Player Information is On
66,,,,,,Starting Resources
67,,,,,,Resources allotted to each player at match start.
68,,,,,,Standard
69,,,,,,Standard Resources
70,,,,,,High
71,,,,,,High Resources
72,,,,,,Very High
73,,,,,,Very High Resources
74,,,,,,Maximum
75,,,,,,Maximum Resources
76,,,,,,Starting Age
77,,,,,,Age at which players start the match
78,,,,,,Age I
79,,,,,,Age I Start
80,,,,,,Age II
81,,,,,,Age II Start
82,,,,,,Age III
83,,,,,,Age III Start
84,,,,,,Age IV
85,,,,,,Age IV Start
86,,,,,,Map State
87,,,,,,Initial state of the map
88,,,,,,Concealed
89,,,,,,Concealed Map
90,,,,,,Explored
91,,,,,,Explored Map
92,,,,,,Revealed
93,,,,,,Revealed Map
94,,,,,,Reveal On Elimination
95,,,,,,Reveal Fog of War to eliminated players
96,,,,,,Reveal Fog of War to eliminated players
